MOF,PLD,Dimen
qmof-033f4ac.res,5.30859,1
qmof-0340fcc.res,3.44344,3
qmof-03558fb.res,1.03407,nan
qmof-0358909.res,0.95726,nan
qmof-0359d3a.res,7.37713,3
qmof-035e8fd.res,8.44089,1
qmof-0360d63.res,6.47388,2
qmof-036187d.res,7.10975,3
qmof-037d5ed.res,8.08149,3
qmof-038aa2d.res,8.17103,1
qmof-03a39a4.res,3.53537,1
qmof-03acc57.res,13.59551,3
qmof-03b6f67.res,5.80734,2
qmof-03c6ba9.res,11.18465,1
qmof-03d0e0b.res,6.07593,1
qmof-03d81cc.res,11.3973,2
qmof-03ddeb4.res,7.03793,1
qmof-03e3842.res,7.75024,3
qmof-03f205a.res,6.79554,1
qmof-03f51c0.res,24.67028,3
qmof-04353f7.res,1.22216,nan
qmof-043ec9a.res,1.20007,nan
qmof-0444ac2.res,0.83511,nan
qmof-044adae.res,1.17998,nan
qmof-0475987.res,7.77322,3
qmof-0496546.res,8.48758,3
qmof-049a1ce.res,6.16235,1
qmof-04a1fed.res,11.99811,3
qmof-04aceb4.res,1.04718,nan
qmof-04b3122.res,7.41639,1
qmof-04b37b6.res,9.62342,2
qmof-04bf78f.res,6.42659,3
qmof-04c1119.res,4.80458,3
qmof-04c639c.res,0.87859,nan
qmof-04cc501.res,1.25839,nan
qmof-04dd137.res,6.50399,3
qmof-04e078a.res,3.14688,1
qmof-04e23fc.res,18.99194,1
qmof-04f3a5d.res,9.38703,3
qmof-04fb851.res,4.02699,1
qmof-04fca8c.res,0.82076,nan
qmof-0507e96.res,2.91214,1
qmof-050c8bc.res,1.07147,nan
qmof-051793e.res,1.61339,nan
qmof-0519a50.res,1.07038,nan
qmof-051e081.res,5.51197,1
qmof-0523aea.res,3.74851,1
qmof-0528115.res,3.99149,2
qmof-0531def.res,0.86022,nan
qmof-0554391.res,2.90947,2
qmof-0556b59.res,3.18563,1
qmof-0564294.res,3.35729,3
qmof-0565e78.res,7.55968,3
qmof-056d026.res,4.94823,3
qmof-0573de6.res,7.7201,2
qmof-0574750.res,2.23243,nan
qmof-057afa8.res,1.22222,nan
qmof-057b7d1.res,1.54472,nan
qmof-0589a80.res,2.41925,1
qmof-058b1bf.res,6.32912,2
qmof-059275c.res,6.49676,2
qmof-0592de4.res,6.33714,3
qmof-05a56bc.res,0.98144,nan
qmof-05b0858.res,4.36197,1
qmof-05c65f8.res,9.09273,3
qmof-05c81b9.res,5.6231,3
qmof-05cbfaf.res,15.25448,3
qmof-05cdfed.res,2.04463,nan
qmof-05d43e5.res,1.08887,nan
qmof-05e4efb.res,7.58615,3
qmof-05e86f0.res,4.37097,3
qmof-05f5f6e.res,10.45063,3
qmof-05f7938.res,5.57432,1
qmof-0600de4.res,1.06615,nan
qmof-0614d31.res,1.38265,nan
qmof-0618e72.res,1.17464,nan
qmof-061ae68.res,0.9576,nan
qmof-0625810.res,7.69539,3
qmof-0637865.res,9.49113,3
qmof-063efc4.res,5.29354,2
qmof-06527ff.res,8.56189,3
qmof-065c0c3.res,1.02757,nan
qmof-0660e3e.res,4.14427,3
qmof-06731c3.res,6.6928,2
qmof-067b82c.res,7.44298,3
qmof-067c272.res,1.24639,nan
qmof-0684a95.res,7.1354,3
qmof-0689dbf.res,1.15499,nan
qmof-06a2080.res,1.22433,nan
qmof-06a973f.res,15.39139,3
qmof-06bc0e5.res,3.23229,1
qmof-06bdce4.res,6.1451,3
qmof-06d1650.res,9.36661,3
qmof-06ddc1e.res,1.36606,nan
qmof-06e412e.res,8.96746,3
qmof-06edf43.res,3.46092,1
qmof-06edf50.res,6.20095,3
qmof-06fdc4b.res,1.59856,nan
qmof-07042a4.res,13.6201,1
qmof-070d551.res,4.59234,3
qmof-0713ee0.res,5.0716,3
qmof-071a36b.res,1.55913,nan
qmof-071d192.res,6.24376,3
qmof-0743acf.res,4.63512,3
qmof-07498ac.res,4.01158,1
qmof-0749ed8.res,4.72771,3
qmof-0751ed8.res,13.94274,3
qmof-07562e7.res,8.31668,3
qmof-076e8b4.res,5.00203,3
qmof-0771f58.res,1.36049,nan
qmof-077f6af.res,5.4041,3
qmof-079672c.res,7.77972,2
qmof-0798d7e.res,11.55056,3
qmof-07a0248.res,7.59171,3
qmof-07b2619.res,2.52575,1
qmof-07c07d3.res,5.46926,3
qmof-07c1136.res,1.17343,nan
qmof-07c2760.res,1.53083,nan
qmof-07c71de.res,1.38186,nan
qmof-07d29e9.res,8.64584,1
qmof-07d6987.res,5.38761,3
qmof-07d6aa8.res,0.83402,nan
qmof-07d7fd6.res,2.03408,nan
qmof-07e6831.res,6.59408,3
qmof-07ecb86.res,0.92576,nan
qmof-07f47c8.res,0.98613,nan
qmof-080c4cf.res,9.80437,3
qmof-0811e53.res,21.15606,1
qmof-082a0fb.res,13.76881,3
qmof-082b821.res,5.96733,3
qmof-083e336.res,0.98725,nan
qmof-084244e.res,0.87822,nan
qmof-0880913.res,10.54266,1
qmof-0888573.res,0.95083,nan
qmof-0894383.res,5.98734,1
qmof-0894f45.res,4.49592,1
qmof-089b614.res,3.10834,1
qmof-089c984.res,8.44689,3
qmof-089e2e8.res,12.75639,1
qmof-08a6002.res,4.82686,3
qmof-08a8079.res,2.64161,3
qmof-08a8daa.res,10.62272,3
qmof-08ad999.res,10.22154,1
qmof-08b42cf.res,4.16748,3
qmof-08c1883.res,1.22235,nan
qmof-08cbfe6.res,7.78658,2
qmof-08e7dd3.res,12.35017,3
qmof-08e81c7.res,9.5301,3
qmof-08e86ed.res,7.2612,3
qmof-08ff76f.res,3.0857,1
qmof-090a52a.res,11.50626,3
qmof-0918da7.res,5.54273,2
qmof-0929129.res,4.71223,2
qmof-092f35f.res,0.85728,nan
qmof-09319e1.res,9.45141,3
qmof-09412cc.res,10.52554,3
qmof-094c879.res,12.02844,2
qmof-0954b37.res,1.20601,nan
qmof-096a6b8.res,9.33268,3
qmof-096b649.res,4.402,1
qmof-09816d2.res,3.38232,3
qmof-0988370.res,1.25556,nan
qmof-098de98.res,1.46931,nan
qmof-0993e19.res,4.39664,3
qmof-099c53d.res,7.6081,2
qmof-09a123f.res,1.08421,nan
qmof-09ad581.res,3.64872,1
qmof-09ba5e4.res,3.49693,1
qmof-09bb6ee.res,6.56437,3
qmof-09ca76c.res,2.44538,1
qmof-09cb4ce.res,1.10143,nan
qmof-09cb905.res,4.87232,3
qmof-09ce13e.res,3.06881,1
qmof-09cf381.res,0.80016,nan
qmof-09da183.res,8.7968,3
qmof-09e1d24.res,7.08687,1
qmof-09eb351.res,1.7043,nan
qmof-09f0270.res,11.53325,1
qmof-09f32f8.res,0.91579,nan
qmof-09f6927.res,0.931,nan
qmof-09f8fe4.res,1.35088,nan
qmof-0a05af4.res,8.53294,3
qmof-0a0bcfa.res,10.22009,3
qmof-0a1eaf1.res,1.20113,nan
qmof-0a253bb.res,7.23822,1
qmof-0a37810.res,6.17827,3
qmof-0a38e7d.res,1.51618,nan
qmof-0a3b765.res,7.47115,1
qmof-0a41075.res,1.65849,nan
qmof-0a464a7.res,5.29763,3
qmof-0a524db.res,5.70057,1
qmof-0a64c16.res,8.70786,3
qmof-0a7a2fd.res,8.93072,2
qmof-0a7a6ac.res,1.21383,nan
qmof-0a980e2.res,7.17729,1
qmof-0a9f80a.res,0.99995,nan
qmof-0aa02b3.res,9.10494,1
qmof-0aa4198.res,2.00749,nan
qmof-0aa938c.res,3.07657,1
qmof-0aaa20a.res,1.4252,nan
qmof-0ab5c05.res,2.88226,2
qmof-0abe557.res,0.77427,nan
qmof-0ac7a64.res,6.55659,2
qmof-0acccbc.res,8.96085,3
qmof-0ad522b.res,10.97249,3
qmof-0ad7d63.res,1.3998,nan
qmof-0ae6e04.res,3.21659,1
qmof-0aec438.res,8.09353,3
qmof-0afaf89.res,13.51623,2
qmof-0b08cba.res,12.21512,2
qmof-0b09ca3.res,1.51376,nan
qmof-0b1055a.res,1.05466,nan
qmof-0b12ae3.res,0.98172,nan
qmof-0b1b397.res,2.44968,1
qmof-0b31a84.res,3.41548,1
qmof-0b3a3c5.res,0.90215,nan
qmof-0b3aaa4.res,6.27734,1
qmof-0b3e7a7.res,1.11697,nan
qmof-0b45f96.res,3.71918,3
qmof-0b496b6.res,2.56962,1
qmof-0b51679.res,9.83153,3
qmof-0b5e989.res,4.81347,3
qmof-0b65042.res,8.68978,3
qmof-0b6afbc.res,1.13373,nan
qmof-0b75061.res,2.11097,nan
qmof-0b7dc93.res,7.20057,3
qmof-0b8fec1.res,6.00009,1
qmof-0b9c9b5.res,4.29159,1
qmof-0bac948.res,1.19174,nan
qmof-0bb2748.res,1.04822,nan
qmof-0bbdca4.res,3.13428,2
qmof-0bbddb3.res,7.5209,3
qmof-0bbe221.res,4.97713,3
qmof-0bbf75f.res,8.69717,3
qmof-0bc3629.res,1.00764,nan
qmof-0be7420.res,4.19612,2
qmof-0bf120c.res,1.06014,nan
qmof-0c04920.res,11.50112,3
qmof-0c2559f.res,9.0786,3
qmof-0c2ac6d.res,5.18828,3
qmof-0c315e8.res,23.06406,1
qmof-0c3a6da.res,7.28645,3
qmof-0c405dc.res,5.93564,3
qmof-0c65e4f.res,1.35638,nan
qmof-0c697c4.res,3.98433,3
qmof-0c6dba4.res,1.19729,nan
qmof-0c858c4.res,1.02535,nan
qmof-0c8b198.res,3.6959,2
qmof-0c8f66a.res,2.96127,1
qmof-0c9058e.res,4.82629,3
qmof-0c90bee.res,0.7993,nan
qmof-0c9867d.res,1.06981,nan
qmof-0ca5226.res,0.68619,nan
qmof-0ca8e5c.res,0.91342,nan
qmof-0cad810.res,3.3352,1
qmof-0caf630.res,0.91506,nan
qmof-0cb0659.res,7.71894,3
qmof-0cb7c52.res,7.79179,3
qmof-0cbe617.res,2.88634,2
qmof-0cc0d1a.res,6.25022,3
qmof-0cced71.res,12.37504,3
qmof-0cd15a7.res,6.03052,1
qmof-0cd28a2.res,10.62295,3
qmof-0cd4232.res,3.99683,2
qmof-0cd6df8.res,5.2362,1
qmof-0cd6fd3.res,5.164,3
qmof-0cebdfd.res,1.41949,nan
qmof-0cecd6b.res,0.6396,nan
qmof-0cf115b.res,0.93927,nan
qmof-0cf6fb4.res,1.4143,nan
qmof-0cfa193.res,4.44603,3
qmof-0d0bec4.res,0.9881,nan
qmof-0d1ec57.res,1.40101,nan
qmof-0d1f757.res,3.38744,1
qmof-0d2f6a6.res,10.44089,3
qmof-0d33b0c.res,9.03833,3
qmof-0d42aa5.res,1.07099,nan
qmof-0d451ab.res,1.74073,nan
qmof-0d451dd.res,1.23141,nan
qmof-0d4641a.res,1.17983,nan
qmof-0d50e07.res,7.10898,1
qmof-0d568f0.res,14.31672,3
qmof-0d5ee20.res,1.03019,nan
qmof-0d66641.res,2.69293,1
qmof-0d73d70.res,2.80501,1
qmof-0d90510.res,2.90394,3
qmof-0da3c2d.res,5.87469,3
qmof-0daa435.res,4.26528,2
qmof-0daa5d3.res,0.84425,nan
qmof-0db285c.res,1.08414,nan
qmof-0db4fb5.res,2.23137,nan
qmof-0db5672.res,6.57454,3
qmof-0dc00e5.res,14.2324,3
qmof-0dce90f.res,10.86124,3
qmof-0dd810c.res,11.72744,2
qmof-0de3389.res,6.11828,1
qmof-0de788f.res,9.33349,3
qmof-0df7bd9.res,3.72391,1
qmof-0e0afb1.res,1.16415,nan
qmof-0e200b6.res,7.74508,2
qmof-0e22315.res,0.85697,nan
qmof-0e27a4a.res,3.88667,3
qmof-0e2fb56.res,12.51291,3
qmof-0e4bbc6.res,6.47814,3
qmof-0e4c081.res,1.55256,nan
qmof-0e4e8d5.res,1.18187,nan
qmof-0e578b6.res,10.34088,1
qmof-0e5c999.res,0.8837,nan
qmof-0e62149.res,5.92109,1
qmof-0e64acd.res,5.04928,3
qmof-0e6b29f.res,9.91214,3
qmof-0e72b85.res,2.88346,1
qmof-0e7dcd2.res,0.6357,nan
qmof-0e83e58.res,1.0223,nan
qmof-0e8c4b6.res,11.16134,3
qmof-0e91fcd.res,0.86273,nan
qmof-0e9f38c.res,8.71389,1
qmof-0ea1d91.res,0.99318,nan
qmof-0eaf3ad.res,12.55937,3
qmof-0eb3aaf.res,0.93744,nan
qmof-0eb9cc3.res,0.72118,nan
qmof-0eba9d1.res,0.81398,nan
qmof-0ec2ee1.res,2.27924,nan
qmof-0eda30d.res,8.30092,3
qmof-0ee131b.res,1.12823,nan
qmof-0ee4bf6.res,6.42874,3
qmof-0ee6243.res,5.36379,1
qmof-0ee8b01.res,1.48737,nan
qmof-0eff6c4.res,9.72545,3
qmof-0f113e8.res,1.04575,nan
qmof-0f25712.res,1.40846,nan
qmof-0f263d7.res,1.09438,nan
qmof-0f2aa8c.res,23.8673,3
qmof-0f322ba.res,0.88144,nan
qmof-0f35ae8.res,2.51794,1
qmof-0f3908e.res,2.65539,1
qmof-0f3927b.res,2.10316,nan
qmof-0f39fa4.res,13.18249,1
qmof-0f3bfc7.res,1.41857,nan
qmof-0f4d4bb.res,1.3462,nan
qmof-0f515e2.res,5.40228,3
qmof-0f540dd.res,7.14511,1
qmof-0f6384e.res,3.75592,3
qmof-0f66924.res,1.73726,nan
qmof-0f66a7d.res,3.54055,1
qmof-0f6b856.res,3.51855,1
qmof-0f7138b.res,1.1355,nan
qmof-0f7c76b.res,0.95699,nan
qmof-0f89a96.res,11.29508,3
qmof-0f8a04b.res,5.44457,3
qmof-0f95d50.res,9.19664,3
qmof-0f9e66f.res,10.4502,1
qmof-0fa90ce.res,4.44287,1
qmof-0fadd6f.res,4.01324,3
qmof-0fb4857.res,1.14268,nan
qmof-0fb4c2f.res,5.58847,3
qmof-0fbdbe2.res,1.09517,nan
qmof-0fcda30.res,0.8958,nan
qmof-0fd78a4.res,0.84791,nan
qmof-0fe96c4.res,6.92811,3
qmof-1002f30.res,6.28436,3
qmof-1009afb.res,5.10006,2
qmof-100c07d.res,4.46855,3
qmof-1013282.res,5.45885,1
qmof-101353a.res,9.7275,2
qmof-1026675.res,1.03866,nan
qmof-102b244.res,0.75989,nan
qmof-1033c27.res,4.61086,2
qmof-1034731.res,4.53459,2
qmof-1035838.res,12.38605,3
qmof-1040c8c.res,9.16222,3
qmof-104fefd.res,0.81298,nan
qmof-1068e1a.res,0.97837,nan
qmof-106ff45.res,3.98261,3
qmof-1072fba.res,1.27361,nan
qmof-10741df.res,1.28929,nan
qmof-107ed0f.res,3.51634,1
qmof-107fbfa.res,6.87421,3
qmof-108e5ba.res,0.88416,nan
qmof-10920d5.res,13.23908,2
qmof-10947da.res,1.06379,nan
qmof-10a8bec.res,1.16588,nan
qmof-10b2259.res,6.16276,3
qmof-10b52ba.res,3.60438,1
qmof-10bab48.res,0.84948,nan
qmof-10cb6cd.res,8.59332,3
qmof-10d8e94.res,1.28537,nan
qmof-10dcb6e.res,1.17349,nan
qmof-10ddadb.res,1.221,nan
qmof-10e0b8f.res,3.37208,3
qmof-10f2b04.res,1.3111,nan
qmof-10ff507.res,1.20878,nan
qmof-110e680.res,1.04226,nan
qmof-110ffa0.res,6.7983,3
qmof-1117cd8.res,10.92249,3
qmof-111ce53.res,3.03007,1
qmof-1123a6c.res,17.44409,3
qmof-112bc59.res,6.78169,3
qmof-112d725.res,4.42426,1
qmof-113b9c6.res,8.18013,1
qmof-1171565.res,9.53469,3
qmof-1172086.res,1.17224,nan
qmof-118c062.res,7.52436,3
qmof-1196d66.res,2.36562,nan
qmof-1197fef.res,0.97393,nan
qmof-11a42ea.res,5.21606,3
qmof-11a9ce1.res,9.62246,3
qmof-11b8fff.res,0.97512,nan
qmof-11baec4.res,5.81634,3
qmof-11c1311.res,3.75546,3
qmof-11c14b0.res,0.81241,nan
qmof-11d85cf.res,0.86304,nan
qmof-11e08f9.res,5.63697,1
qmof-11ec06f.res,6.43435,3
qmof-11f7d05.res,10.402,1
qmof-11fc392.res,3.14031,1
qmof-120180d.res,20.28816,1
qmof-120421d.res,9.17492,1
qmof-1205501.res,4.10543,3
qmof-120a229.res,0.72362,nan
qmof-1242490.res,5.85593,3
qmof-124e9b0.res,6.68167,3
qmof-1265f27.res,12.06947,1
qmof-1269b58.res,3.82126,3
qmof-126e41c.res,1.01881,nan
qmof-1274274.res,1.06961,nan
qmof-1275871.res,1.29012,nan
qmof-1281756.res,5.31884,1
qmof-12930dd.res,4.00414,1
qmof-129ae04.res,5.1449,3
qmof-129e0cb.res,4.70584,3
qmof-12a0bfd.res,5.60999,3
qmof-12aa8fe.res,5.03207,1
qmof-12aaae7.res,7.81955,3
qmof-12b0750.res,1.01884,nan
qmof-12b9530.res,1.06489,nan
qmof-12bffdb.res,10.05086,3
qmof-12c6f50.res,3.95258,1
qmof-12c8a37.res,1.51602,nan
qmof-12d0800.res,7.009,3
qmof-12e1518.res,8.08979,3
qmof-12e5fd9.res,14.64815,1
qmof-12e6771.res,13.67849,3
qmof-12e958e.res,2.65784,1
qmof-12e9727.res,1.60613,nan
qmof-12eec1c.res,3.43536,1
qmof-12fb18b.res,3.29218,2
qmof-130053f.res,4.60991,1
qmof-1302ca9.res,0.90241,nan
qmof-131b24c.res,0.8058,nan
qmof-131c306.res,10.63934,1
qmof-132acf7.res,0.97337,nan
qmof-1339194.res,0.93452,nan
qmof-1339fce.res,4.27064,3
qmof-134a580.res,7.42743,1
qmof-1355ac2.res,8.34902,3
qmof-1356ddc.res,6.9017,1
qmof-13595d5.res,10.08809,3
qmof-136d9fe.res,0.9553,nan
qmof-136dedd.res,4.41141,1
qmof-136ec9b.res,3.47817,1
qmof-136fa43.res,0.89686,nan
qmof-137f330.res,2.45707,1
qmof-13889cb.res,5.55353,1
qmof-13989ad.res,4.88697,1
qmof-139da7b.res,8.3802,3
qmof-13a2472.res,11.56299,3
qmof-13a3ac6.res,1.30363,nan
qmof-13af5eb.res,1.05633,nan
qmof-13b25d9.res,2.23362,nan
qmof-13bab77.res,1.12054,nan
qmof-13bee8a.res,3.0037,1
qmof-13cca29.res,2.70687,1
qmof-13cd67d.res,1.3657,nan
qmof-13dcf5f.res,2.98652,2
qmof-13e3f36.res,2.70607,2
qmof-13e5eb8.res,2.53078,1
qmof-13e75c9.res,11.34863,1
qmof-13ec2a4.res,1.01451,nan
qmof-13eeb84.res,8.52557,3
qmof-13f1903.res,1.13291,nan
qmof-13f8e19.res,7.65032,2
qmof-13fccf0.res,11.13455,1
qmof-1401390.res,8.66856,1
qmof-140478c.res,3.65967,2
qmof-14064a5.res,4.99649,3
qmof-141ad7b.res,14.39646,3
qmof-141e1b5.res,12.17459,3
qmof-142011d.res,4.89138,3
qmof-14210e6.res,3.2485,2
qmof-14291f8.res,3.15665,1
qmof-14332ab.res,7.09649,3
qmof-144d405.res,18.80824,3
qmof-14584db.res,0.94072,nan
qmof-145f48b.res,14.15478,2
qmof-1470db1.res,0.86704,nan
qmof-14731b5.res,2.32728,nan
qmof-14924f8.res,1.01377,nan
qmof-1498f76.res,0.73648,nan
qmof-14a36ed.res,4.52159,1
qmof-14acde3.res,9.9962,1
qmof-14b2d9e.res,5.10329,3
qmof-14ba95c.res,6.60875,3
qmof-14bc777.res,3.34986,1
qmof-14c3c38.res,1.04711,nan
qmof-14c725f.res,14.19025,3
qmof-14c9367.res,2.26574,nan
qmof-14ca94e.res,0.93632,nan
qmof-14d0875.res,12.80829,3
qmof-14d6317.res,12.40533,3
qmof-14d7a6e.res,6.28783,1
qmof-14d9a90.res,0.78433,nan
qmof-14e7e8b.res,15.16233,3
qmof-14eb177.res,1.89586,nan
qmof-14efc5e.res,5.56538,3
qmof-14f024a.res,3.47835,3
qmof-14f604b.res,5.01663,3
qmof-14f9393.res,4.48022,1
qmof-14fb11d.res,12.56853,3
qmof-14fcdee.res,3.40251,3
qmof-1502f04.res,7.5153,1
qmof-150e43b.res,7.66058,1
qmof-1510f27.res,0.83001,nan
qmof-151448f.res,1.09147,nan
qmof-151eb43.res,0.69812,nan
qmof-15271a7.res,3.41573,1
qmof-152c5b0.res,1.17813,nan
qmof-15375c3.res,0.82398,nan
qmof-15463ec.res,9.67672,3
qmof-1547839.res,1.17969,nan
qmof-155c782.res,3.47315,3
qmof-156367b.res,8.1795,2
qmof-1565c63.res,0.88558,nan
qmof-15701ff.res,1.15661,nan
qmof-157692e.res,1.04187,nan
qmof-157e47f.res,10.9549,3
qmof-158f8fd.res,6.81432,2
qmof-1590633.res,9.51801,3
qmof-159127d.res,2.87568,1
qmof-1592e39.res,9.16875,3
qmof-1594a7d.res,10.45274,1
qmof-15a075e.res,3.08435,2
qmof-15a9ba1.res,1.64537,nan
qmof-15b209e.res,6.35534,3
qmof-15b32d5.res,4.79379,3
qmof-15b6747.res,6.74046,3
qmof-15bc1db.res,2.40951,1
qmof-15bcb48.res,0.82978,nan
qmof-15bd34b.res,20.50051,1
qmof-15c4a0c.res,2.81238,1
qmof-15c6dbd.res,3.45756,1
qmof-15d20be.res,5.9729,3
qmof-15d237d.res,0.95314,nan
qmof-15d8f58.res,6.44405,2
qmof-15dc2c1.res,0.95767,nan
qmof-15eff87.res,1.50843,nan
qmof-15f7608.res,12.39231,2
qmof-15fac80.res,0.72409,nan
qmof-15fd7ce.res,3.43735,1
qmof-15ff994.res,4.91005,3
qmof-16049c4.res,8.36308,3
qmof-16137ec.res,6.78768,3
qmof-161f324.res,1.07786,nan
qmof-16257f4.res,5.8973,3
qmof-163215a.res,0.61367,nan
qmof-163a5ea.res,8.05485,3
qmof-164026e.res,8.55244,1
qmof-1647128.res,0.92745,nan
qmof-165659f.res,2.73556,1
qmof-1656ec0.res,0.83339,nan
qmof-166954d.res,10.84804,3
qmof-166bce5.res,1.29448,nan
qmof-166fde6.res,1.04929,nan
qmof-16738f7.res,2.87994,1
qmof-167482e.res,4.82188,3
qmof-16757dd.res,6.92229,3
qmof-167d2f5.res,5.31077,1
qmof-167de54.res,3.02798,3
qmof-167de99.res,1.18525,nan
qmof-169186c.res,3.64925,1
qmof-1693606.res,2.03115,nan
qmof-16937aa.res,9.05209,3
qmof-16983c5.res,5.67592,3
qmof-169c2f0.res,1.07228,nan
qmof-169f356.res,4.77153,2
qmof-16addb6.res,0.68286,nan
qmof-16af362.res,1.27952,nan
qmof-16cda91.res,1.51933,nan
qmof-16de531.res,6.90979,1
qmof-16df4e4.res,2.77118,1
qmof-16e6fa0.res,1.29889,nan
qmof-16edcac.res,10.87783,3
qmof-16f3c20.res,9.14283,3
qmof-16f859b.res,5.76951,1
qmof-1700e53.res,0.87806,nan
qmof-1702f8c.res,11.7264,3
qmof-17096cd.res,1.05416,nan
qmof-1710640.res,1.47793,nan
qmof-17124a7.res,0.75227,nan
qmof-172319f.res,1.04183,nan
qmof-1733f01.res,18.96207,3
qmof-173ac53.res,2.3853,nan
qmof-173f556.res,1.56015,nan
qmof-1743e6b.res,1.46241,nan
qmof-17462aa.res,4.61061,3
qmof-175b6da.res,0.87493,nan
qmof-17704ef.res,5.48779,3
qmof-1773abb.res,0.95815,nan
qmof-177ecfa.res,0.93417,nan
qmof-177f29a.res,0.85647,nan
qmof-1784f7b.res,11.44118,3
qmof-17877f3.res,0.77668,nan
qmof-178fc48.res,9.37631,3
qmof-17962ea.res,6.58024,3
qmof-1798d3b.res,1.39318,nan
qmof-179b653.res,1.42419,nan
qmof-17a2f2b.res,1.21757,nan
qmof-17a47b2.res,9.24286,3
qmof-17a96f5.res,4.15838,2
qmof-17ac010.res,8.7125,3
qmof-17be6a5.res,4.78786,3
qmof-17c6faa.res,8.62003,3
qmof-17cb93f.res,7.46528,3
qmof-17d2618.res,7.27226,3
qmof-17d2d80.res,3.07245,1
qmof-17d4703.res,3.83767,1
qmof-17d81df.res,3.24169,2
qmof-17db927.res,18.90753,3
qmof-17ed363.res,1.33496,nan
qmof-17ee812.res,2.258,nan
qmof-17fd0ce.res,0.95583,nan
qmof-17ff8b1.res,7.07949,2
qmof-18059b1.res,0.98625,nan
qmof-180a643.res,3.44606,3
qmof-1825bea.res,1.17313,nan
qmof-18273eb.res,1.1582,nan
qmof-182e007.res,4.57459,3
qmof-1830dec.res,2.77029,1
qmof-18442f6.res,3.75671,3
qmof-18467b8.res,1.32735,nan
qmof-1847c21.res,3.91275,3
